,DB_ID,SKU,Store,Date,Unit Sales,Dollar Sales,Month,Year/Month,Week,Week of month,Period of month,Unit Cost,Profit,Day of the week
601,80045,50012011250,312,2016-07-20,1.0,9.99,7,2016-07,2016-29,3,Middle,7.5,2.49,3
602,80046,50012011250,312,2016-07-21,5.0,49.95,7,2016-07,2016-29,3,Middle,7.5,12.450000000000003,4
603,80047,50012011250,312,2016-07-22,4.0,39.96,7,2016-07,2016-29,3,Middle,7.5,9.96,5
604,80048,50012011250,312,2016-07-23,3.0,29.97,7,2016-07,2016-29,3,Middle,7.5,7.469999999999999,6
605,80049,50012011250,312,2016-07-25,9.0,89.91,7,2016-07,2016-30,4,End,7.5,22.409999999999997,1
607,80051,50012011250,312,2016-07-27,5.0,49.95,7,2016-07,2016-30,4,End,7.5,12.450000000000003,3
608,80052,50012011250,312,2016-07-28,5.0,49.95,7,2016-07,2016-30,4,End,7.5,12.450000000000003,4
609,80053,50012011250,312,2016-07-30,1.0,9.99,7,2016-07,2016-30,4,End,7.5,2.49,6
610,80054,50012011250,312,2016-08-01,3.0,29.97,8,2016-08,2016-31,1,Beginning,7.5,7.469999999999999,1
611,80055,50012011250,312,2016-08-02,3.0,29.97,8,2016-08,2016-31,1,Beginning,7.5,7.469999999999999,2
612,80056,50012011250,312,2016-08-03,4.0,39.96,8,2016-08,2016-31,1,Beginning,7.5,9.96,3
613,80057,50012011250,312,2016-08-04,4.0,39.96,8,2016-08,2016-31,1,Beginning,7.5,9.96,4
614,80058,50012011250,312,2016-08-05,5.0,49.95,8,2016-08,2016-31,1,Beginning,7.5,12.450000000000003,5
615,80059,50012011250,312,2016-08-06,2.0,19.98,8,2016-08,2016-31,1,Beginning,7.5,4.98,6
616,82516,50012011340,312,2014-08-04,3.0,14.97,8,2014-08,2014-31,1,Beginning,2.5,7.470000000000001,1
617,82517,50012011340,312,2014-08-05,2.0,9.98,8,2014-08,2014-31,1,Beginning,2.5,4.98,2
618,82518,50012011340,312,2014-08-06,1.0,4.99,8,2014-08,2014-31,1,Beginning,2.5,2.49,3
619,82519,50012011340,312,2014-08-11,1.0,4.99,8,2014-08,2014-32,2,Middle,2.5,2.49,1
620,82520,50012011340,312,2014-08-12,2.0,9.98,8,2014-08,2014-32,2,Middle,2.5,4.98,2
621,82521,50012011340,312,2014-08-13,3.0,14.97,8,2014-08,2014-32,2,Middle,2.5,7.470000000000001,3
622,82522,50012011340,312,2014-08-14,3.0,14.97,8,2014-08,2014-32,2,Middle,2.5,7.470000000000001,4
624,82524,50012011340,312,2014-08-16,3.0,14.97,8,2014-08,2014-32,2,Middle,2.5,7.470000000000001,6
625,82525,50012011340,312,2014-08-18,3.0,14.97,8,2014-08,2014-33,3,Middle,2.5,7.470000000000001,1
627,82527,50012011340,312,2014-08-23,3.0,14.97,8,2014-08,2014-33,3,Middle,2.5,7.470000000000001,6
628,82528,50012011340,312,2014-08-25,1.0,4.99,8,2014-08,2014-34,4,End,2.5,2.49,1
629,82529,50012011340,312,2014-08-26,1.0,4.99,8,2014-08,2014-34,4,End,2.5,2.49,2
630,82530,50012011340,312,2014-08-27,1.0,4.99,8,2014-08,2014-34,4,End,2.5,2.49,3
631,82531,50012011340,312,2014-08-28,1.0,4.99,8,2014-08,2014-34,4,End,2.5,2.49,4
632,82532,50012011340,312,2014-08-29,2.0,9.98,8,2014-08,2014-34,4,End,2.5,4.98,5
633,82533,50012011340,312,2014-08-30,1.0,4.99,8,2014-08,2014-34,4,End,2.5,2.49,6
634,82534,50012011340,312,2014-09-01,2.0,9.98,9,2014-09,2014-35,1,Beginning,2.5,4.98,1
635,82535,50012011340,312,2014-09-03,1.0,4.99,9,2014-09,2014-35,1,Beginning,2.5,2.49,3
636,82536,50012011340,312,2014-09-04,2.0,9.98,9,2014-09,2014-35,1,Beginning,2.5,4.98,4
637,82537,50012011340,312,2014-09-06,2.0,9.98,9,2014-09,2014-35,1,Beginning,2.5,4.98,6
638,82538,50012011340,312,2014-09-08,2.0,9.98,9,2014-09,2014-36,2,Middle,2.5,4.98,1
640,82540,50012011340,312,2014-09-10,1.0,4.99,9,2014-09,2014-36,2,Middle,2.5,2.49,3
642,82542,50012011340,312,2014-09-12,2.0,9.98,9,2014-09,2014-36,2,Middle,2.5,4.98,5
643,82543,50012011340,312,2014-09-15,1.0,4.99,9,2014-09,2014-37,3,Middle,2.5,2.49,1
644,82544,50012011340,312,2014-09-16,2.0,9.98,9,2014-09,2014-37,3,Middle,2.5,4.98,2
645,82545,50012011340,312,2014-09-17,5.0,24.95,9,2014-09,2014-37,3,Middle,2.5,12.45,3
646,82546,50012011340,312,2014-09-18,1.0,4.99,9,2014-09,2014-37,3,Middle,2.5,2.49,4
647,82547,50012011340,312,2014-09-19,2.0,9.98,9,2014-09,2014-37,3,Middle,2.5,4.98,5
648,82548,50012011340,312,2014-09-22,3.0,14.97,9,2014-09,2014-38,4,End,2.5,7.470000000000001,1
649,82549,50012011340,312,2014-09-23,1.0,4.99,9,2014-09,2014-38,4,End,2.5,2.49,2
650,82550,50012011340,312,2014-09-24,3.0,14.97,9,2014-09,2014-38,4,End,2.5,7.470000000000001,3
652,82552,50012011340,312,2014-09-27,1.0,4.99,9,2014-09,2014-38,4,End,2.5,2.49,6
653,82553,50012011340,312,2014-09-29,2.0,9.98,9,2014-09,2014-39,5,End,2.5,4.98,1
654,82554,50012011340,312,2014-09-30,2.0,9.98,9,2014-09,2014-39,5,End,2.5,4.98,2
655,82555,50012011340,312,2014-10-01,4.0,19.96,10,2014-10,2014-39,0,Beginning,2.5,9.96,3
656,82556,50012011340,312,2014-10-02,4.0,19.96,10,2014-10,2014-39,0,Beginning,2.5,9.96,4
657,82557,50012011340,312,2014-10-04,1.0,4.99,10,2014-10,2014-39,0,Beginning,2.5,2.49,6
658,82558,50012011340,312,2014-10-06,2.0,9.98,10,2014-10,2014-40,1,Beginning,2.5,4.98,1
659,82559,50012011340,312,2014-10-08,1.0,4.99,10,2014-10,2014-40,1,Beginning,2.5,2.49,3
660,82560,50012011340,312,2014-10-09,1.0,4.99,10,2014-10,2014-40,1,Beginning,2.5,2.49,4
661,82561,50012011340,312,2014-10-10,1.0,4.99,10,2014-10,2014-40,1,Beginning,2.5,2.49,5
662,82562,50012011340,312,2014-10-11,4.0,19.96,10,2014-10,2014-40,1,Beginning,2.5,9.96,6
663,82563,50012011340,312,2014-10-13,2.0,9.98,10,2014-10,2014-41,2,Middle,2.5,4.98,1
664,82564,50012011340,312,2014-10-14,3.0,14.97,10,2014-10,2014-41,2,Middle,2.5,7.470000000000001,2
665,82565,50012011340,312,2014-10-17,2.0,9.98,10,2014-10,2014-41,2,Middle,2.5,4.98,5
666,82566,50012011340,312,2014-10-20,2.0,9.98,10,2014-10,2014-42,3,Middle,2.5,4.98,1
667,82567,50012011340,312,2014-10-21,3.0,14.97,10,2014-10,2014-42,3,Middle,2.5,7.470000000000001,2
668,82568,50012011340,312,2014-10-22,1.0,4.99,10,2014-10,2014-42,3,Middle,2.5,2.49,3
669,82569,50012011340,312,2014-10-23,1.0,4.99,10,2014-10,2014-42,3,Middle,2.5,2.49,4
670,82570,50012011340,312,2014-10-24,2.0,9.98,10,2014-10,2014-42,3,Middle,2.5,4.98,5
671,82571,50012011340,312,2014-10-25,2.0,9.98,10,2014-10,2014-42,3,Middle,2.5,4.98,6
672,82572,50012011340,312,2014-10-28,4.0,19.96,10,2014-10,2014-43,4,End,2.5,9.96,2
673,82573,50012011340,312,2014-10-29,1.0,4.99,10,2014-10,2014-43,4,End,2.5,2.49,3
674,82574,50012011340,312,2014-10-30,2.0,9.98,10,2014-10,2014-43,4,End,2.5,4.98,4
675,82575,50012011340,312,2014-10-31,5.0,24.95,10,2014-10,2014-43,4,End,2.5,12.45,5
676,82576,50012011340,312,2014-11-01,1.0,4.99,11,2014-11,2014-43,0,Beginning,2.5,2.49,6
677,82577,50012011340,312,2014-11-03,6.0,29.94,11,2014-11,2014-44,1,Beginning,2.5,14.940000000000001,1
678,82578,50012011340,312,2014-11-04,2.0,9.98,11,2014-11,2014-44,1,Beginning,2.5,4.98,2
679,82579,50012011340,312,2014-11-06,3.0,14.97,11,2014-11,2014-44,1,Beginning,2.5,7.470000000000001,4
680,82580,50012011340,312,2014-11-07,1.0,4.99,11,2014-11,2014-44,1,Beginning,2.5,2.49,5
681,82581,50012011340,312,2014-11-08,1.0,12.99,11,2014-11,2014-44,1,Beginning,2.5,10.49,6
684,82584,50012011340,312,2014-11-13,2.0,9.98,11,2014-11,2014-45,2,Middle,2.5,4.98,4
685,82585,50012011340,312,2014-11-15,1.0,4.99,11,2014-11,2014-45,2,Middle,2.5,2.49,6
686,82586,50012011340,312,2014-11-17,4.0,19.96,11,2014-11,2014-46,3,Middle,2.5,9.96,1
687,82587,50012011340,312,2014-11-18,-1.0,-4.99,11,2014-11,2014-46,3,Middle,2.5,-2.49,2
688,82588,50012011340,312,2014-11-19,1.0,4.99,11,2014-11,2014-46,3,Middle,2.5,2.49,3
691,82591,50012011340,312,2014-11-24,1.0,4.99,11,2014-11,2014-47,4,End,2.5,2.49,1
692,82592,50012011340,312,2014-11-25,2.0,9.98,11,2014-11,2014-47,4,End,2.5,4.98,2
693,82593,50012011340,312,2014-11-26,1.0,4.99,11,2014-11,2014-47,4,End,2.5,2.49,3
694,82594,50012011340,312,2014-11-27,4.0,19.96,11,2014-11,2014-47,4,End,2.5,9.96,4
695,82595,50012011340,312,2014-11-28,2.0,9.98,11,2014-11,2014-47,4,End,2.5,4.98,5
696,82596,50012011340,312,2014-11-29,3.0,14.97,11,2014-11,2014-47,4,End,2.5,7.470000000000001,6
697,82597,50012011340,312,2014-12-01,1.0,4.99,12,2014-12,2014-48,1,Beginning,2.5,2.49,1
698,82598,50012011340,312,2014-12-02,1.0,4.99,12,2014-12,2014-48,1,Beginning,2.5,2.49,2
699,82599,50012011340,312,2014-12-04,1.0,4.99,12,2014-12,2014-48,1,Beginning,2.5,2.49,4
701,82601,50012011340,312,2014-12-06,2.0,9.98,12,2014-12,2014-48,1,Beginning,2.5,4.98,6
702,82602,50012011340,312,2014-12-08,1.0,4.99,12,2014-12,2014-49,2,Middle,2.5,2.49,1
703,82603,50012011340,312,2014-12-09,1.0,4.99,12,2014-12,2014-49,2,Middle,2.5,2.49,2
704,82604,50012011340,312,2014-12-10,1.0,4.99,12,2014-12,2014-49,2,Middle,2.5,2.49,3
705,82605,50012011340,312,2014-12-12,2.0,9.98,12,2014-12,2014-49,2,Middle,2.5,4.98,5
706,82606,50012011340,312,2014-12-13,2.0,9.98,12,2014-12,2014-49,2,Middle,2.5,4.98,6
708,82608,50012011340,312,2014-12-16,3.0,14.97,12,2014-12,2014-50,3,Middle,2.5,7.470000000000001,2
709,82609,50012011340,312,2014-12-17,3.0,14.97,12,2014-12,2014-50,3,Middle,2.5,7.470000000000001,3
710,82610,50012011340,312,2014-12-18,3.0,14.97,12,2014-12,2014-50,3,Middle,2.5,7.470000000000001,4
711,82611,50012011340,312,2014-12-20,1.0,4.99,12,2014-12,2014-50,3,Middle,2.5,2.49,6
712,82612,50012011340,312,2014-12-22,2.0,9.98,12,2014-12,2014-51,4,End,2.5,4.98,1
713,82613,50012011340,312,2014-12-23,2.0,9.98,12,2014-12,2014-51,4,End,2.5,4.98,2
714,82614,50012011340,312,2014-12-24,2.0,9.98,12,2014-12,2014-51,4,End,2.5,4.98,3
715,82615,50012011340,312,2014-12-25,2.0,9.98,12,2014-12,2014-51,4,End,2.5,4.98,4
716,82616,50012011340,312,2014-12-26,3.0,14.97,12,2014-12,2014-51,4,End,2.5,7.470000000000001,5
717,82617,50012011340,312,2014-12-27,1.0,4.99,12,2014-12,2014-51,4,End,2.5,2.49,6
718,82618,50012011340,312,2014-12-29,1.0,4.99,12,2014-12,2014-52,5,End,2.5,2.49,1
719,82619,50012011340,312,2014-12-30,1.0,4.99,12,2014-12,2014-52,5,End,2.5,2.49,2
720,82620,50012011340,312,2014-12-31,1.0,4.99,12,2014-12,2014-52,5,End,2.5,2.49,3
721,82621,50012011340,312,2015-01-01,2.0,9.98,1,2015-01,2015-00,0,Beginning,2.5,4.98,4
723,82623,50012011340,312,2015-01-03,3.0,14.97,1,2015-01,2015-00,0,Beginning,2.5,7.470000000000001,6
724,82624,50012011340,312,2015-01-06,3.0,14.97,1,2015-01,2015-01,1,Beginning,2.5,7.470000000000001,2
725,82625,50012011340,312,2015-01-07,1.0,4.99,1,2015-01,2015-01,1,Beginning,2.5,2.49,3
726,82626,50012011340,312,2015-01-08,2.0,9.98,1,2015-01,2015-01,1,Beginning,2.5,4.98,4
727,82627,50012011340,312,2015-01-09,1.0,4.99,1,2015-01,2015-01,1,Beginning,2.5,2.49,5
728,82628,50012011340,312,2015-01-10,2.0,9.98,1,2015-01,2015-01,1,Beginning,2.5,4.98,6
729,82629,50012011340,312,2015-01-12,2.0,9.98,1,2015-01,2015-02,2,Middle,2.5,4.98,1
731,82631,50012011340,312,2015-01-14,2.0,9.98,1,2015-01,2015-02,2,Middle,2.5,4.98,3
732,82632,50012011340,312,2015-01-15,3.0,14.97,1,2015-01,2015-02,2,Middle,2.5,7.470000000000001,4
733,82633,50012011340,312,2015-01-16,5.0,24.95,1,2015-01,2015-02,2,Middle,2.5,12.45,5
734,82634,50012011340,312,2015-01-17,1.0,4.99,1,2015-01,2015-02,2,Middle,2.5,2.49,6
735,82635,50012011340,312,2015-01-19,1.0,4.99,1,2015-01,2015-03,3,Middle,2.5,2.49,1
736,82636,50012011340,312,2015-01-20,1.0,4.99,1,2015-01,2015-03,3,Middle,2.5,2.49,2
737,82637,50012011340,312,2015-01-21,1.0,4.99,1,2015-01,2015-03,3,Middle,2.5,2.49,3
738,82638,50012011340,312,2015-01-22,1.0,12.99,1,2015-01,2015-03,3,Middle,2.5,10.49,4
739,82639,50012011340,312,2015-01-26,2.0,9.98,1,2015-01,2015-04,4,End,2.5,4.98,1
740,82640,50012011340,312,2015-01-27,3.0,14.97,1,2015-01,2015-04,4,End,2.5,7.470000000000001,2
741,82641,50012011340,312,2015-01-28,1.0,4.99,1,2015-01,2015-04,4,End,2.5,2.49,3
742,82642,50012011340,312,2015-01-29,2.0,9.98,1,2015-01,2015-04,4,End,2.5,4.98,4
743,82643,50012011340,312,2015-01-30,1.0,4.99,1,2015-01,2015-04,4,End,2.5,2.49,5
744,82644,50012011340,312,2015-01-31,2.0,9.98,1,2015-01,2015-04,4,End,2.5,4.98,6
745,82645,50012011340,312,2015-02-02,2.0,9.98,2,2015-02,2015-05,1,Beginning,2.5,4.98,1
746,82646,50012011340,312,2015-02-03,4.0,19.96,2,2015-02,2015-05,1,Beginning,2.5,9.96,2
747,82647,50012011340,312,2015-02-04,4.0,19.96,2,2015-02,2015-05,1,Beginning,2.5,9.96,3
748,82648,50012011340,312,2015-02-05,2.0,9.98,2,2015-02,2015-05,1,Beginning,2.5,4.98,4
749,82649,50012011340,312,2015-02-06,2.0,9.98,2,2015-02,2015-05,1,Beginning,2.5,4.98,5
750,82650,50012011340,312,2015-02-07,1.0,4.99,2,2015-02,2015-05,1,Beginning,2.5,2.49,6
753,82653,50012011340,312,2015-02-13,3.0,14.97,2,2015-02,2015-06,2,Middle,2.5,7.470000000000001,5
754,82654,50012011340,312,2015-02-14,2.0,9.98,2,2015-02,2015-06,2,Middle,2.5,4.98,6
755,82655,50012011340,312,2015-02-16,1.0,4.99,2,2015-02,2015-07,3,Middle,2.5,2.49,1
756,82656,50012011340,312,2015-02-17,1.0,4.99,2,2015-02,2015-07,3,Middle,2.5,2.49,2
757,82657,50012011340,312,2015-02-18,3.0,14.97,2,2015-02,2015-07,3,Middle,2.5,7.470000000000001,3
758,82658,50012011340,312,2015-02-19,1.0,4.99,2,2015-02,2015-07,3,Middle,2.5,2.49,4
759,82659,50012011340,312,2015-02-21,2.0,9.98,2,2015-02,2015-07,3,Middle,2.5,4.98,6
760,82660,50012011340,312,2015-02-24,5.0,24.95,2,2015-02,2015-08,4,End,2.5,12.45,2
761,82661,50012011340,312,2015-02-25,4.0,19.96,2,2015-02,2015-08,4,End,2.5,9.96,3
762,82662,50012011340,312,2015-02-26,1.0,4.99,2,2015-02,2015-08,4,End,2.5,2.49,4
763,82663,50012011340,312,2015-02-27,2.0,9.98,2,2015-02,2015-08,4,End,2.5,4.98,5
764,82664,50012011340,312,2015-02-28,2.0,9.98,2,2015-02,2015-08,4,End,2.5,4.98,6
765,82665,50012011340,312,2015-03-04,1.0,4.99,3,2015-03,2015-09,1,Beginning,2.5,2.49,3
766,82666,50012011340,312,2015-03-06,3.0,14.97,3,2015-03,2015-09,1,Beginning,2.5,7.470000000000001,5
767,82667,50012011340,312,2015-03-07,1.0,4.99,3,2015-03,2015-09,1,Beginning,2.5,2.49,6
768,82668,50012011340,312,2015-03-09,5.0,24.95,3,2015-03,2015-10,2,Middle,2.5,12.45,1
769,82669,50012011340,312,2015-03-11,2.0,9.98,3,2015-03,2015-10,2,Middle,2.5,4.98,3
770,82670,50012011340,312,2015-03-13,3.0,14.97,3,2015-03,2015-10,2,Middle,2.5,7.470000000000001,5
771,82671,50012011340,312,2015-03-14,1.0,4.99,3,2015-03,2015-10,2,Middle,2.5,2.49,6
772,82672,50012011340,312,2015-03-16,2.0,9.98,3,2015-03,2015-11,3,Middle,2.5,4.98,1
773,82673,50012011340,312,2015-03-17,2.0,9.98,3,2015-03,2015-11,3,Middle,2.5,4.98,2
776,82676,50012011340,312,2015-03-21,2.0,9.98,3,2015-03,2015-11,3,Middle,2.5,4.98,6
777,82677,50012011340,312,2015-03-23,1.0,12.99,3,2015-03,2015-12,4,End,2.5,10.49,1
778,82678,50012011340,312,2015-03-24,6.0,29.94,3,2015-03,2015-12,4,End,2.5,14.940000000000001,2
779,82679,50012011340,312,2015-03-25,2.0,9.98,3,2015-03,2015-12,4,End,2.5,4.98,3
780,82680,50012011340,312,2015-03-26,3.0,14.97,3,2015-03,2015-12,4,End,2.5,7.470000000000001,4
781,82681,50012011340,312,2015-03-28,4.0,19.96,3,2015-03,2015-12,4,End,2.5,9.96,6
783,82683,50012011340,312,2015-04-01,2.0,9.98,4,2015-04,2015-13,0,Beginning,2.5,4.98,3
784,82684,50012011340,312,2015-04-02,3.0,14.97,4,2015-04,2015-13,0,Beginning,2.5,7.470000000000001,4
785,82685,50012011340,312,2015-04-03,2.0,9.98,4,2015-04,2015-13,0,Beginning,2.5,4.98,5
786,82686,50012011340,312,2015-04-04,3.0,14.97,4,2015-04,2015-13,0,Beginning,2.5,7.470000000000001,6
787,82687,50012011340,312,2015-04-06,1.0,4.99,4,2015-04,2015-14,1,Beginning,2.5,2.49,1
788,82688,50012011340,312,2015-04-08,1.0,4.99,4,2015-04,2015-14,1,Beginning,2.5,2.49,3
789,82689,50012011340,312,2015-04-13,2.0,9.98,4,2015-04,2015-15,2,Middle,2.5,4.98,1
790,82690,50012011340,312,2015-04-14,3.0,14.97,4,2015-04,2015-15,2,Middle,2.5,7.470000000000001,2
791,82691,50012011340,312,2015-04-15,1.0,4.99,4,2015-04,2015-15,2,Middle,2.5,2.49,3
792,82692,50012011340,312,2015-04-16,3.0,14.97,4,2015-04,2015-15,2,Middle,2.5,7.470000000000001,4
793,82693,50012011340,312,2015-04-18,3.0,14.97,4,2015-04,2015-15,2,Middle,2.5,7.470000000000001,6
794,82694,50012011340,312,2015-04-20,1.0,4.99,4,2015-04,2015-16,3,Middle,2.5,2.49,1
795,82695,50012011340,312,2015-04-23,2.0,9.98,4,2015-04,2015-16,3,Middle,2.5,4.98,4
796,82696,50012011340,312,2015-04-25,1.0,4.99,4,2015-04,2015-16,3,Middle,2.5,2.49,6
797,82697,50012011340,312,2015-04-27,2.0,9.98,4,2015-04,2015-17,4,End,2.5,4.98,1
798,82698,50012011340,312,2015-04-28,2.0,9.98,4,2015-04,2015-17,4,End,2.5,4.98,2
799,82699,50012011340,312,2015-04-29,3.0,14.97,4,2015-04,2015-17,4,End,2.5,7.470000000000001,3
801,82701,50012011340,312,2015-05-02,1.0,4.99,5,2015-05,2015-17,0,Beginning,2.5,2.49,6
802,82702,50012011340,312,2015-05-04,1.0,4.99,5,2015-05,2015-18,1,Beginning,2.5,2.49,1
803,82703,50012011340,312,2015-05-06,1.0,4.99,5,2015-05,2015-18,1,Beginning,2.5,2.49,3
804,82704,50012011340,312,2015-05-08,1.0,4.99,5,2015-05,2015-18,1,Beginning,2.5,2.49,5
805,82705,50012011340,312,2015-05-12,1.0,4.99,5,2015-05,2015-19,2,Middle,2.5,2.49,2
806,82706,50012011340,312,2015-05-13,2.0,9.98,5,2015-05,2015-19,2,Middle,2.5,4.98,3
807,82707,50012011340,312,2015-05-14,5.0,24.95,5,2015-05,2015-19,2,Middle,2.5,12.45,4
808,82708,50012011340,312,2015-05-16,1.0,4.99,5,2015-05,2015-19,2,Middle,2.5,2.49,6
809,82709,50012011340,312,2015-05-18,2.0,9.98,5,2015-05,2015-20,3,Middle,2.5,4.98,1
810,82710,50012011340,312,2015-05-19,1.0,4.99,5,2015-05,2015-20,3,Middle,2.5,2.49,2
811,82711,50012011340,312,2015-05-20,3.0,14.97,5,2015-05,2015-20,3,Middle,2.5,7.470000000000001,3
812,82712,50012011340,312,2015-05-21,2.0,9.98,5,2015-05,2015-20,3,Middle,2.5,4.98,4
813,82713,50012011340,312,2015-05-25,2.0,9.98,5,2015-05,2015-21,4,End,2.5,4.98,1
814,82714,50012011340,312,2015-05-26,1.0,4.99,5,2015-05,2015-21,4,End,2.5,2.49,2
815,82715,50012011340,312,2015-05-27,1.0,4.99,5,2015-05,2015-21,4,End,2.5,2.49,3
816,82716,50012011340,312,2015-05-28,1.0,4.99,5,2015-05,2015-21,4,End,2.5,2.49,4
817,82717,50012011340,312,2015-05-29,1.0,4.99,5,2015-05,2015-21,4,End,2.5,2.49,5
818,82718,50012011340,312,2015-06-01,1.0,4.99,6,2015-06,2015-22,1,Beginning,2.5,2.49,1
819,82719,50012011340,312,2015-06-02,1.0,4.99,6,2015-06,2015-22,1,Beginning,2.5,2.49,2
820,82720,50012011340,312,2015-06-03,1.0,4.99,6,2015-06,2015-22,1,Beginning,2.5,2.49,3
821,82721,50012011340,312,2015-06-06,1.0,4.99,6,2015-06,2015-22,1,Beginning,2.5,2.49,6
822,82722,50012011340,312,2015-06-08,1.0,4.99,6,2015-06,2015-23,2,Middle,2.5,2.49,1
824,82724,50012011340,312,2015-06-10,1.0,4.99,6,2015-06,2015-23,2,Middle,2.5,2.49,3
825,82725,50012011340,312,2015-06-11,3.0,14.97,6,2015-06,2015-23,2,Middle,2.5,7.470000000000001,4
826,82726,50012011340,312,2015-06-12,2.0,9.98,6,2015-06,2015-23,2,Middle,2.5,4.98,5
827,82727,50012011340,312,2015-06-15,2.0,9.98,6,2015-06,2015-24,3,Middle,2.5,4.98,1
830,82730,50012011340,312,2015-06-19,2.0,9.98,6,2015-06,2015-24,3,Middle,2.5,4.98,5
831,82731,50012011340,312,2015-06-23,3.0,14.97,6,2015-06,2015-25,4,End,2.5,7.470000000000001,2
832,82732,50012011340,312,2015-06-26,2.0,9.98,6,2015-06,2015-25,4,End,2.5,4.98,5
833,82733,50012011340,312,2015-06-27,1.0,4.99,6,2015-06,2015-25,4,End,2.5,2.49,6
834,82734,50012011340,312,2015-06-29,1.0,4.99,6,2015-06,2015-26,5,End,2.5,2.49,1
835,82735,50012011340,312,2015-06-30,1.0,4.99,6,2015-06,2015-26,5,End,2.5,2.49,2
836,82736,50012011340,312,2015-07-01,1.0,4.99,7,2015-07,2015-26,0,Beginning,2.5,2.49,3
837,82737,50012011340,312,2015-07-02,1.0,4.99,7,2015-07,2015-26,0,Beginning,2.5,2.49,4
838,82738,50012011340,312,2015-07-03,1.0,4.99,7,2015-07,2015-26,0,Beginning,2.5,2.49,5
841,82741,50012011340,312,2015-07-08,1.0,4.99,7,2015-07,2015-27,1,Beginning,2.5,2.49,3
842,82742,50012011340,312,2015-07-09,1.0,4.99,7,2015-07,2015-27,1,Beginning,2.5,2.49,4
843,82743,50012011340,312,2015-07-10,3.0,14.97,7,2015-07,2015-27,1,Beginning,2.5,7.470000000000001,5
845,82745,50012011340,312,2015-07-15,2.0,9.98,7,2015-07,2015-28,2,Middle,2.5,4.98,3
846,82746,50012011340,312,2015-07-16,3.0,14.97,7,2015-07,2015-28,2,Middle,2.5,7.470000000000001,4
847,82747,50012011340,312,2015-07-17,2.0,9.98,7,2015-07,2015-28,2,Middle,2.5,4.98,5
848,82748,50012011340,312,2015-07-18,1.0,4.99,7,2015-07,2015-28,2,Middle,2.5,2.49,6
849,82749,50012011340,312,2015-07-21,1.0,4.99,7,2015-07,2015-29,3,Middle,2.5,2.49,2
850,82750,50012011340,312,2015-07-23,1.0,4.99,7,2015-07,2015-29,3,Middle,2.5,2.49,4
851,82751,50012011340,312,2015-07-24,2.0,9.98,7,2015-07,2015-29,3,Middle,2.5,4.98,5
852,82752,50012011340,312,2015-07-27,3.0,14.97,7,2015-07,2015-30,4,End,2.5,7.470000000000001,1
853,82753,50012011340,312,2015-07-28,2.0,9.98,7,2015-07,2015-30,4,End,2.5,4.98,2
854,82754,50012011340,312,2015-07-29,1.0,4.99,7,2015-07,2015-30,4,End,2.5,2.49,3
855,82755,50012011340,312,2015-07-30,1.0,4.99,7,2015-07,2015-30,4,End,2.5,2.49,4
856,82756,50012011340,312,2015-07-31,1.0,4.99,7,2015-07,2015-30,4,End,2.5,2.49,5
857,82757,50012011340,312,2015-08-01,2.0,9.98,8,2015-08,2015-30,0,Beginning,2.5,4.98,6
858,82758,50012011340,312,2015-08-03,2.0,9.98,8,2015-08,2015-31,1,Beginning,2.5,4.98,1
859,82759,50012011340,312,2015-08-04,1.0,4.99,8,2015-08,2015-31,1,Beginning,2.5,2.49,2
860,82760,50012011340,312,2015-08-07,3.0,14.97,8,2015-08,2015-31,1,Beginning,2.5,7.470000000000001,5
861,82761,50012011340,312,2015-08-08,3.0,14.97,8,2015-08,2015-31,1,Beginning,2.5,7.470000000000001,6
862,82762,50012011340,312,2015-08-10,3.0,14.97,8,2015-08,2015-32,2,Middle,2.5,7.470000000000001,1
863,82763,50012011340,312,2015-08-13,2.0,9.98,8,2015-08,2015-32,2,Middle,2.5,4.98,4
864,82764,50012011340,312,2015-08-15,1.0,4.99,8,2015-08,2015-32,2,Middle,2.5,2.49,6
865,82765,50012011340,312,2015-08-17,2.0,9.98,8,2015-08,2015-33,3,Middle,2.5,4.98,1
866,82766,50012011340,312,2015-08-18,1.0,12.99,8,2015-08,2015-33,3,Middle,2.5,10.49,2
867,82767,50012011340,312,2015-08-20,1.0,4.99,8,2015-08,2015-33,3,Middle,2.5,2.49,4
869,82769,50012011340,312,2015-08-22,1.0,4.99,8,2015-08,2015-33,3,Middle,2.5,2.49,6
870,82770,50012011340,312,2015-08-24,2.0,9.98,8,2015-08,2015-34,4,End,2.5,4.98,1
871,82771,50012011340,312,2015-08-25,2.0,9.98,8,2015-08,2015-34,4,End,2.5,4.98,2
872,82772,50012011340,312,2015-08-26,3.0,14.97,8,2015-08,2015-34,4,End,2.5,7.470000000000001,3
873,82773,50012011340,312,2015-08-27,1.0,4.99,8,2015-08,2015-34,4,End,2.5,2.49,4
874,82774,50012011340,312,2015-08-28,2.0,9.98,8,2015-08,2015-34,4,End,2.5,4.98,5
875,82775,50012011340,312,2015-08-29,2.0,9.98,8,2015-08,2015-34,4,End,2.5,4.98,6
876,82776,50012011340,312,2015-08-31,2.0,9.98,8,2015-08,2015-35,5,End,2.5,4.98,1
878,82778,50012011340,312,2015-09-02,4.0,19.96,9,2015-09,2015-35,0,Beginning,2.5,9.96,3
